iter	Passed	Remaining
0	2968	1778130
1	5743	1717310
2	8508	1693137
3	11286	1681690
4	14084	1676063
5	16878	1671017
6	19681	1667266
7	22458	1661955
8	25231	1656877
9	28018	1653069
10	30808	1649649
11	33639	1648353
12	36424	1644721
13	39204	1640993
14	41986	1637477
15	44789	1634804
16	47608	1632697
17	50404	1629738
18	53224	1627544
19	56038	1625119
20	58835	1622190
21	61679	1620482
22	64546	1619266
23	67384	1617225
24	70170	1613912
25	72942	1610352
26	75750	1607588
27	78555	1604781
28	81342	1601608
29	84148	1598817
30	86946	1595897
31	89768	1593389
32	92653	1591954
33	95500	1589809
34	98343	1587537
35	101196	1585411
36	104043	1583155
37	106878	1580683
38	109743	1578621
39	112587	1576231
40	115447	1574022
41	118315	1571906
42	121157	1569408
43	124110	1568305
44	126952	1565745
45	129817	1563449
46	132672	1561022
47	135479	1558009
48	138261	1554733
49	141079	1551873
50	143893	1548969
51	146685	1545841
52	149473	1542680
53	152278	1539705
54	155057	1536475
55	157849	1533392
56	160655	1530452
57	163449	1527409
58	166253	1524459
59	169091	1521822
60	171920	1519097
61	174743	1516318
62	177566	1513542
63	180514	1511805
64	183436	1509823
65	186227	1506747
66	189050	1503936
67	192187	1503588
68	195259	1502651
69	198319	1501560
70	201267	1499582
71	204457	1499357
72	207631	1498926
73	210800	1498391
74	213990	1497936
75	217168	1497318
76	220325	1496496
77	223557	1496113
78	226750	1495408
79	229872	1494173
80	233031	1493130
81	236236	1492323
82	239452	1491527
83	242632	1490454
84	245869	1489682
85	249065	1488603
86	252242	1487359
87	255445	1486231
88	258682	1485246
89	261921	1484222
90	265193	1483336
91	268321	1481602
92	271509	1480164
93	274657	1478473
94	277941	1477476
95	281140	1475985
96	284260	1474054
97	287418	1472285
98	290688	1471058
99	294027	1470139
100	297306	1468872
101	300487	1467085
102	303666	1465262
103	306955	1463942
104	310196	1462354
105	313468	1460881
106	316663	1459019
107	320000	1457781
108	323259	1456148
109	326800	1455748
110	330105	1454249
111	333336	1452393
112	336568	1450519
113	339888	1448997
114	343089	1446942
115	346264	1444758
116	349458	1442635
117	352856	1441327
118	356020	1439039
119	359293	1437175
120	362594	1435392
121	365894	1433586
122	369221	1431857
123	372530	1430037
124	375794	1428019
125	378965	1425631
126	381961	1422579
127	385001	1419691
128	388098	1417010
129	391223	1414424
130	394408	1412043
131	397620	1409744
132	400875	1407583
133	404080	1405234
134	407327	1403017
135	410503	1400540
136	413790	1398431
137	417058	1396239
138	420258	1393805
139	423426	1391257
140	426583	1388666
141	429726	1386018
142	432934	1383572
143	436190	1381270
144	439433	1378911
145	442681	1376556
146	445956	1374274
147	449097	1371566
148	452316	1369093
149	455511	1366535
150	458740	1364069
151	461964	1361578
152	465155	1358984
153	468372	1356456
154	471586	1353910
155	474755	1351225
156	477994	1348734
157	481178	1346081
158	484318	1343298
159	487494	1340610
160	490715	1338038
161	493961	1335525
162	497180	1332931
163	500479	1330544
164	503821	1328257
165	506979	1325475
166	510197	1322846
167	513352	1320048
168	516672	1317666
169	519939	1315141
170	523164	1312499
171	526303	1309639
172	529471	1306845
173	532699	1304194
174	535909	1301493
175	539102	1298747
176	542323	1296060
177	545490	1293241
178	548663	1290431
179	551844	1287637
180	555028	1284843
181	558142	1281887
182	561421	1279304
183	564597	1276481
184	567745	1273590
185	570907	1270730
186	574048	1267818
187	577240	1265016
188	580351	1262033
189	583642	1259438
190	586795	1256542
191	589989	1253726
192	593150	1250840
193	596343	1248017
194	599524	1245167
195	602744	1242391
196	605902	1239486
197	609106	1236670
198	612344	1233919
199	615560	1231120
200	618734	1228234
201	621962	1225450
202	625162	1222607
203	628329	1219698
204	631541	1216872
205	634676	1213895
206	637871	1211030
207	640969	1207980
208	644028	1204857
209	647080	1201720
210	650107	1198539
211	653186	1195454
212	656303	1192438
213	659351	1189297
214	662450	1186247
215	665527	1183160
216	668575	1180020
217	671645	1176920
218	674741	1173865
219	677787	1170724
220	680844	1167602
221	683980	1164615
222	687025	1161472
223	690129	1158430
224	693182	1155304
225	696211	1152137
226	699325	1149112
227	702540	1146249
228	705642	1143201
229	708739	1140146
230	711838	1137093
231	714975	1134099
232	718107	1131096
233	721175	1127992
234	724248	1124896
235	727349	1121844
236	730459	1118804
237	733545	1115729
238	736646	1112675
239	739678	1109517
240	742761	1106437
241	745888	1103422
242	748976	1100347
243	752114	1097346
244	755194	1094260
245	758282	1091187
246	761316	1088035
247	764499	1085095
248	767569	1081995
249	770700	1078980
250	773820	1075949
251	776932	1072906
252	780031	1069845
253	783151	1066813
254	786327	1063855
255	789432	1060799
256	792629	1057866
257	795860	1054978
258	799063	1052048
259	802243	1049087
260	805330	1046004
261	808417	1042919
262	811558	1039905
263	814761	1036969
264	817989	1034061
265	821137	1031052
266	824205	1027941
267	827385	1024970
268	830475	1021886
269	833484	1018703
270	836500	1015530
271	839559	1012409
272	842676	1009359
273	845784	1006297
274	848880	1003222
275	851988	1000159
276	855135	997143
277	858230	994065
278	861305	990964
279	864455	987949
280	867584	984908
281	870742	981901
282	873794	978773
283	876910	975717
284	880028	972663
285	883182	969648
286	886280	966571
287	889374	963488
